title,ISBN,publication_year,genre
Not Such a Stranger,9780263136852,1993,Romance
Telecrse Guide-Introduction to Managemnt,9780534930578,1999,General
Losing Alcea,9780595450947,2007,Romance
Nacscorp Win 98 6pkt Fl Dsply,9780764591327,1998,General
Preparation for the tests of achievement and proficiency,9780876947104,1997,Reading
Le Sens De La Metrique Chez Francois Villon,9780820469751,2004,General
The Flying Gourmet,9780962039805,1988,Cooking
The Adventure of the Copper Beeches,9781425474140,2005,General
Research in Social Stratification and Mobility,9781559382052,1991,Sociology
Desade II,9781931982887,2007,General
Carols and Crimes  Gifts and Grifters,9781603640022,2007,Humorous
Human Monitoring after Environmental and Occupational Exposure to Chemical and Physical Agents,9789051994957,2000,Medical
Mengzi yan jiu (Da lu di qu bo shi lun wen cong kan),9789576681349,1993,Mencius
Yearbook of the International Law Commission  1981  Pt 2,9789993213444,1983,International Law
Being someone,0933216866,1991,General
Handbuch der deutschen Geschichte,3800210134,1970,General
Trace analysis,0854044175,1996,Trace elements
A long-term outlook for the world economy,0821316117,1990,Economic forecasting.
Thesaurus Augustinianus.,2503508693,2002,Augustine 
Politische Philosophie in der Weimarer Republik,3476006646,1989,Germany
Lies of silence,0886193222,1998,General
America's transition,0924168005,1989,United States
Arbetarrörelsen ur tiden?,9179700446,1987,Labor unions
Biology,0382182758,1977,General
Magellan's clouds,0919890814,1987,General
Rolf Arnkilin perintö,9510131067,1985,General
Infarctus du myocarde aigu,2876714299,2003,Myocarde
Il giovane Cassirer e la scuola di Marburgo,8820427281,1988,Philosophy  German
Diophantine analysis,1584884827,2004,General
Zhongguo tou hao nong min,9578888023,1994,Farmers
Black boys can make it,9781858564319,2008,Teenagers  Black
The world's finest,9789766371142,2008,Coffee
Applied mathematics for safety professionals,9781885581556,2010,Industrial safety
Ten little kittens,9780740791970,2010,General
Erasmus higher education,9789279155109,2010,Foreign Students
Bem de família,9788522458981,2010,Homestead law
Poviedky,9788671033633,2011,General
Windows 7 - Tipps & Tricks,9783827244864,2010,Windows 7.
Computer Worship  Pod Dragons in Rune County,9781601454898,2008,General
Hidden Danger  Book 5 of the Hidden Saga: A Hidden Novel (Volume 5),9781534636637,2016,General
Ruishi xun bao ji,9789862293751,2012,History
Grow Rich!,9781684113545,2017,General
The Tales of the Dream Guardian,9781461143352,2011,General
Discover Paradise,9781404114128,2000,General
Quick Guide Marketing Automation,9783658180256,2019,General
Spermatophores,0387135839,1984,Spermatozoa
Kippesoep was ondenkbaar zonder saffraan,9062072445,1983,Jews
MATLAB & Simulink Student Version 2011a,9780982583838,2011,Feedback control systems
Logical empiricism and post₋empiricism in educational discourse,1868532461,1997,Education
Gravesend  Brooklyn,9781439622063,2009,General
Blood and Moonlight,9781250755827,2021,General
Langston Hughes,9781502610645,2016,Biography
Los italianos en Nicaragua,9789996400438,2011,History
Namhansanseong photo book,9788989553687,2013,Historic sites
Quanta stella c'è nel cielo,9788811683520,2009,General
Découverte des réseaux par la systémique,274621444X,2006,System theory
La fée des dents,9782762595734,2013,Juvenile fiction
Bibliomania,9780342089659,2018,General
Handbook of Ballistics; Translated from the Second German Edition; Volume 1,9780344868931,2018,General
Heavy Sublimation,9781584981329,2018,General
Sometimes Madness Is Wisdom : Zelda and Scott Fitzgerald,9781861054975,2002,General
Computer Network Simulation Using NS2,9781315367286,2016,Computer networks
Science Is Everywhere : Forces in Action,9781526304988,2017,General
Dangerous Floods,9781728441450,2022,Physical geography
Ghost and Bony Tuesday,9780956048479,2012,Fiction  humorous  general
Legends of the Modern,9781501353840,2019,Arts  modern
Feeling Is the Secret,9781722505493,2020,General
Çizgibilim Serisi Seti,9786050207569,2019,General
Film Feminisms,9781317212157,2018,General
Public Health,9781630059309,2018,Public health laws
Day Planner - First Day of Kindergarten Ready to Rock Kindergarten,9798545582488,2021,General
Vokabelheft Italienisch Deutsch,9798717969857,2021,General
La fête foraine,9782800688565,2005,General
In the South Seas Annotated,9798463504173,2021,General
Computer-Aided Transit Scheduling,9783642859687,2012,General
Catching Butterflies,9781099403774,2019,General
Jiao ni xue mi yu,9787511214584,2011,Mi yu
Nurse Florence  Tell Me Things about the Heart,9781794727632,2021,General
Kits Grow up to Be Rabbits,9781602799134,2010,Pets
Das Neue Testament,9783980925723,2011,General
Eternal Light and Earthly Concerns,9781526167200,2023,General
Memoir of Percy Bysshe Shelley and Original Poems and Papers by Percy Bysshe Shelley  Now First Collected,9780344782480,2018,General
Gender in Latin America,9780813531953,2002,Sex differences
Last Days of Summer,9780008193140,2016,General
Experiments in General Chemistry,9780357851517,2023,General
Metaphysics of Religion,9780838644003,2006,Religion  philosophy
The Dare,9781094143774,2020,General
Brewing Science  Technology and Print  1700-1880,9780822965312,2018,Brewing
Long Beach State,9781625851260,2015,California  history
Amateur Quotes,9781521519295,2017,General
General Ledger Accounting,9781070279114,2019,General
At the Time Appointed,9781086425048,2019,General
Unsere Hochzeit - 10. M&#65533;rz 2020,9781712508244,2019,General
My Hero Academia Letter Tracing Workbook for Kids : Helpful Indoor Activity for Kids Aged 3 and up,9798672231648,2020,General
My 16th Birthday 2020 the One Where It Was in Lockdown,9798550970867,2020,General
Travelling to Peru,9798760232649,2021,General
Islay South,9780319464861,2006,General
The Prenatal Theme in Psychotherapy,9780429482809,2018,Psychanalyse
Tahdhīb mukhtaṣar Minhāj al-qāṣidīn,9789776713185,2020,Islam
Captain Future #8,9781520041674,2016,Fiction  science fiction  general
Nei sheng wai wang,9789881679314,2015,History
Dōgen no kokoro haiku no kokoro,9784021001437,2008,Criticism and interpretation
Les ecorches (French Edition),9782246609414,2001,General
Amber Brown Wants Extra Credit (Amber Brown),9780780774100,1997,General
Post Polio Syndrome Solution Guide,9798843271077,2022,General
Mes Explorations en Forêt : Cahier d'activité Pour Tous les Explorateurs en Herbe. Pour Ne Rien Oublier des Ballades Dans la Nature. un Jeu de Piste Dans un Carnet Avec Fiches Pratiques éducatives,9798565249668,2020,General
Endometriosis,9781435840102,2009,Medicine
Danke Tagebuch,9781694034991,2019,General
Enseñar pensando en todos los estudiantes,9788411206839,2022,General
New England,0517270846,1979,Historic sites
Tarot : Mirror of the Soul,9781578637904,2023,Psychology
Day for Halloween Coloring Book for All,9798521317738,2021,General
Tomorrowland,9781641370349,2018,Technology
Stained Glass Flower Color by Number Book for Senior,9798548186034,2021,General
Survival of the Fattest,9789812567703,2005,Brain
Double dare,1578560195,1998,Friendship
Grow with Purpose  Create with Passion. Dot Grid Notebook,9781312356207,2023,General
Culinary Colonialism  Caribbean Cookbooks  and Recipes for National Independence,9781978829558,2024,Home economics
Middle Temple Records,9781020535482,2023,General
Big Gay Wedding,9781250267160,2024,General
Venezuela Cotidiana,9781320047364,2011,General
A birthday for General Washington,0516088815,1976,Plays.
Selected Philosophical Essays,9780608352480,2000,General
31 Days Towards the Reconstruction of a Virtuous Woman,9781953535856,2024,General
Trams en tramlijnen,9060075528,1971,Street-railroads
Museum Piece,9781482505382,2013,General
Elements Names Metalexicon Logodynamics,9781467995047,2011,Philosophy  ancient
Thunder in Her Body,9781482766240,2013,General
Book of Enoch,9781981954360,2017,Enoch (biblical figure)
Nether World,9781517393519,2015,Fiction  family life  general
Car Maintenance Record Book : Log Book : Gas Mileage : Maintenance Log : Tire,9781546563464,2017,General
Essays in legal philosophy,0631113800,1968,Law
Never Fear Super Dog Is Here - over 200 Jokes and Cartoons - Animals  Aliens  Sports  Holidays  Occupations  School  Computers  Monsters  Dinosaurs and More - in Full Color,9781502546869,2014,General
Pag Susulatan Nang Dalauang Binibini Na Si Urbana at ni Feliza,9781725090606,2018,General
常德市工商行政管理志 (1989-2012),9787514416725,2015,History
Forensic Mental Health Assessment : A Casebook,9780198033318,2002,General
Lecturas medievales de San Juan de la Cruz,8472394689,1999,General
Along the coasts,0817246541,1998,Ecology.
In secret sin,0330368737,2000,Widows
System failure: USPS purchase of 555 Washington Avenue  St. Louis  MO ,9780160390074,1992,General
Lewis and Clark (Watts Library (Sagebrush)),9780613516594,2002,General
Chevrolet & GMC light truck owner's bible,0837601576,1995,GMC trucks.
Dear Bill  Remember Me?,9780816175703,1992,Audio Adult: Books On Tape
Ryde to Ventnor (South Coast Railway Albums),9780906520192,1985,Railroads
Arrogance and power,9781928751021,2001,Ames
L'ordre De L'affect Au Moyen Age,9782902685318,2005,Sociology
You Can't Win a Fight with Your Boss,9780060776626,2005,Motivational
Jesus is Our Friend (I Am Special),9780879733117,2001,Home Schooling
Buck Meets the Monster Stick,9780874836646,2002,Comedy
Practical small animal internal medicine,0721648398,1997,Dogs
Patrol Response to Contemporary Problems,9780398076573,2006,General
The World Market for Frozen Mackerel Excluding Livers and Roes,9780497576035,2006,Business & Economics / Econometrics
Linda Goodman's Sun Signs,9780553340983,1984,General
Women's Businesses Enterprises,9780756705619,1999,Sociology
Prime Science,9780787213312,1997,Science/Mathematics
Stories from Panchatantra,9780897441360,1979,General
