publisher_name,country,contact_email
Harlequin Mills & Boon,Unknown,contact@harlequinmillsboon.com
Wadsworth Publishing Company,Unknown,contact@wadsworthpublishingcompany.com
iUniverse  Inc.,Unknown,contact@iuniverseinc.com
Hungry Minds Inc U.S.,Unknown,contact@hungrymindsincus.com
Educational Design  Inc,Unknown,contact@educationaldesigninc.com
Peter Lang Pub Inc,Unknown,contact@peterlangpubinc.com
M & M Pubns,Unknown,contact@mmpubns.com
Kessinger Publishing,Unknown,contact@kessingerpublishing.com
JAI Press,Unknown,contact@jaipress.com
Livingston Press (AL),Unknown,contact@livingstonpressal.com
Wolfmont Publishing,Unknown,contact@wolfmontpublishing.com
I O S PRESS,Unknown,contact@iospress.com
Wen jin chu ban she,Unknown,contact@wenjinchubanshe.com
United Nations Pubns,Unknown,contact@unitednationspubns.com
Spinsters Book Co.,Unknown,contact@spinstersbookco.com
Union Verlag,Unknown,contact@unionverlag.com
published for the Laboratory of the Government Chemist by the Royal Society of Chemistry,Unknown,contact@publishedforthelaboratoryofthegovernmentchemistbytheroyalsocietyofchemistry.com
World Bank,Unknown,contact@worldbank.com
Brepols,Unknown,contact@brepols.com
Metzler,Unknown,contact@metzler.com
Lester & Orpen Dennys,Unknown,contact@lesterorpendennys.com
Democracy Project,Unknown,contact@democracyproject.com
S. Pedersson,Unknown,contact@spedersson.com
General Learning Press,Unknown,contact@generallearningpress.com
Signal Editions,Unknown,contact@signaleditions.com
WSOY,Unknown,contact@wsoy.com
Frison-Roche,Unknown,contact@frisonroche.com
F. Angeli,Unknown,contact@fangeli.com
Chapman & Hall/CRC,Unknown,contact@chapmanhallcrc.com
Xin dui chu ban she,Unknown,contact@xinduichubanshe.com
Trentham,Unknown,contact@trentham.com
I. Randle,Unknown,contact@irandle.com
American Society of Safety Engineers,Unknown,contact@americansocietyofsafetyengineers.com
Accord Pub.,Unknown,contact@accordpub.com
Publications Office of the European Union,Unknown,contact@publicationsofficeoftheeuropeanunion.com
Editora Atlas,Unknown,contact@editoraatlas.com
Slovenské vyd. centrum,Unknown,contact@slovenskvydcentrum.com
Markt + Technik,Unknown,contact@markttechnik.com
Booklocker.com,Unknown,contact@booklockercom.com
CreateSpace Independent Publishing Platform,Unknown,contact@createspaceindependentpublishingplatform.com
San cai wen hua chu ban shi ye you xian gong si,Unknown,contact@sancaiwenhuachubanshiyeyouxiangongsi.com
www.bnpublishing.com,Unknown,contact@wwwbnpublishingcom.com
Thomas Nelson,Unknown,contact@thomasnelson.com
Springer Gabler,Unknown,contact@springergabler.com
Springer-Verlag,Unknown,contact@springerverlag.com
Omniboek,Unknown,contact@omniboek.com
Pearson Education  Limited,Unknown,contact@pearsoneducationlimited.com
Heinemann,Unknown,contact@heinemann.com
Arcadia Publishing,Unknown,contact@arcadiapublishing.com
Imprint,Unknown,contact@imprint.com
Cavendish Square Publishing,Unknown,contact@cavendishsquarepublishing.com
Claudia Belli Montiel,Unknown,contact@claudiabellimontiel.com
Namhansanseong culture and tourism initatives,Unknown,contact@namhansanseongcultureandtourisminitatives.com
Garzanti,Unknown,contact@garzanti.com
Hermès science publications,Unknown,contact@hermssciencepublications.com
Héritage jeunesse,Unknown,contact@hritagejeunesse.com
Franklin Classics,Unknown,contact@franklinclassics.com
Franklin Classics Trade Press,Unknown,contact@franklinclassicstradepress.com
Talisman House  Publishers,Unknown,contact@talismanhousepublishers.com
Pavilion Books,Unknown,contact@pavilionbooks.com
Taylor & Francis Group,Unknown,contact@taylorfrancisgroup.com
Hachette Children's Group,Unknown,contact@hachettechildrensgroup.com
Lerner Publishing Group,Unknown,contact@lernerpublishinggroup.com
Alberts Press,Unknown,contact@albertspress.com
Bloomsbury Publishing Plc,Unknown,contact@bloomsburypublishingplc.com
Ascent Audio,Unknown,contact@ascentaudio.com
Say Yayinlari,Unknown,contact@sayyayinlari.com
Rowman & Littlefield Publishers  Incorporated,Unknown,contact@rowmanlittlefieldpublishersincorporated.com
Independently Published,Unknown,contact@independentlypublished.com
Hemma,Unknown,contact@hemma.com
Springer London  Limited,Unknown,contact@springerlondonlimited.com
Guang ming ri bao chu ban she,Unknown,contact@guangmingribaochubanshe.com
Lulu Press  Inc.,Unknown,contact@lulupressinc.com
Cherry Lake Publishing,Unknown,contact@cherrylakepublishing.com
Leuchterhand,Unknown,contact@leuchterhand.com
Manchester University Press,Unknown,contact@manchesteruniversitypress.com
Creative Media Partners  LLC,Unknown,contact@creativemediapartnersllc.com
Rutgers University Press,Unknown,contact@rutgersuniversitypress.com
HarperCollins Publishers Limited,Unknown,contact@harpercollinspublisherslimited.com
